start_station_name,value
W 21 St & 6 Ave,123172
West St & Chambers St,120412
Broadway & W 58 St,110362
6 Ave & W 33 St,103202
1 Ave & E 68 St,99892
Broadway & E 14 St,95660
Broadway & W 25 St,95482
University Pl & E 14 St,92972
Broadway & E 21 St,91701
W 31 St & 7 Ave,91125
12 Ave & W 40 St,88838
Cleveland Pl & Spring St,87522
E 33 St & 1 Ave,87055
6 Ave & W 34 St,86203
West St & Liberty St,85349
Central Park S & 6 Ave,84714
Lafayette St & E 8 St,84658
11 Ave & W 41 St,84033
E 40 St & Park Ave,82707
8 Ave & W 33 St,81252
